id,name,category,pricingCategory,retailPrice,showInPos,vsp_tier,eyemed_tier,spectera_tier
2ea7f0eb-6caf-436d-aea8-68ee67052ab9,Ovation Digital,LENS,PROGRESSIVE,295.20,false,,,
2645c550-5131-46f3-ac51-34b846a39123,Shore Shorview DS Advanced Fit,LENS,PROGRESSIVE,283.20,false,,,
475f908b-c61f-4d4f-bb44-0c12b36d8394,Ovation,LENS,PROGRESSIVE,281.70,false,,,
8a304594-476b-4a13-9d61-a0db83ae2ff4,SmallFit Digital,LENS,PROGRESSIVE,281.70,false,,,
2b70b3f7-9f2a-4ba8-9a8c-67577b028578,Essilor Ideal / Ideal Short,LENS,PROGRESSIVE,277.20,false,,,
c815069f-8793-48ba-88a6-5b123e308917,Shamir Element,LENS,PROGRESSIVE,277.20,false,,,
1eeb2e76-8f87-425e-ae47-81ab513ee00f,Shamir Spectrum / Spectrum+,LENS,PROGRESSIVE,274.20,false,,,
86399361-858c-4eca-a30b-d5bd9a9e9683,Natural Digital,LENS,PROGRESSIVE,271.20,false,,,
9638b64d-ac63-4698-a3be-5c65d5e456ec,SmallFit,LENS,PROGRESSIVE,267.90,false,,,
84b13c75-a223-44f0-b0e8-3752a163a392,Shamir FirstPAL,LENS,PROGRESSIVE,263.40,false,,,
99a94d92-4aa5-4fb9-b419-f042a6b3f61f,Natural,LENS,PROGRESSIVE,263.40,false,,,
c9139c21-ff0b-42bf-9f19-173409df9c43,Shore Shorview DS Advanced Mini,LENS,PROGRESSIVE,257.70,false,,,
20cbec30-6dc5-43a0-91b0-4709340eb5b8,Varilux Comfort DRx,LENS,PROGRESSIVE,254.10,true,,,
97697e47-49aa-4b4b-9a62-77cf9e43cfae,Adaptar Digital,LENS,PROGRESSIVE,243.00,false,,,
e857b3aa-babe-48bb-b812-e8e024466739,Kodak Precise PB,LENS,PROGRESSIVE,239.40,false,,,
e390290d-8306-4726-aa53-7bb9ce21d465,Kodak Concise,LENS,PROGRESSIVE,236.10,false,,,
c32eb966-2b41-4f94-b219-9bc0f23546f2,Kodak Precise,LENS,PROGRESSIVE,230.40,false,,,
20f7c508-a512-4358-b910-661e641a5776,Shamir Genesis HD,LENS,PROGRESSIVE,221.40,false,,,
234c2529-a8ca-490c-9a1a-8f10def5700b,Kodak Easy,LENS,PROGRESSIVE,218.10,false,,,
5ce389c9-23d4-4efa-9cbf-1c531fc827c1,Signet-Armorlite Navigator,LENS,PROGRESSIVE,209.40,false,,,
de56a30e-98c7-405f-98f7-7b11e0ad5288,Shore Shorview Digital / Mini,LENS,PROGRESSIVE,146.70,false,,,
9231be8a-2266-4fbd-87ef-b61ebbee217c,PALZ Value Progressive,LENS,PROGRESSIVE,138.60,false,,,
72ee1dc2-4e68-4442-a7ee-adaa187c162f,Brillenz,LENS,PROGRESSIVE,138.60,true,,,
878b71bb-eb3b-4d0a-8e6e-835626165deb,Shore Shorview ES / Mini,LENS,PROGRESSIVE,137.70,false,,,
c8b0de47-be16-4794-b8e4-788c6986d5fe,Younger Image,LENS,PROGRESSIVE,130.20,false,,,
6454460c-714d-45b0-92ec-67a8de79e153,Vision-Ease Outlook,LENS,PROGRESSIVE,125.40,false,,,
1cd9ea29-3dd0-4951-a540-ec375f35b6c3,Shore Shorview,LENS,PROGRESSIVE,114.90,false,,,
40e24d18-32ac-43d6-be2c-5bf0e6235257,Essilor Ideal @ Computer,LENS,OFFICE,306.60,false,,,
5229c2d3-7511-4341-98b7-dd127a9ab0b7,Shamir Computer,LENS,OFFICE,305.40,false,,,
c0d14254-66d7-4245-b9ea-144b6942d0f7,Shamir Workspace,LENS,OFFICE,305.40,false,,,
0f07b4c3-2ad1-4116-8f7d-f7cf76cfd6f1,Kodak SoftWear,LENS,OFFICE,253.20,false,,,
bff5c9b6-eaf1-4b6e-9aa8-ae174074658f,Shamir Office,LENS,OFFICE,214.50,false,,,
ce87d193-ad15-491a-9294-dac4ad000cf2,Shamir Autograph II Office,LENS,OFFICE,178.20,false,,,
54ce9f5e-7e0a-4cd8-afea-fdb566f4edfb,Crizal Sapphire HR,AR_COATING,AR_COATING,258.12,true,,,
c72edb11-7b37-4dff-bb15-35890d99cbcf,Crizal Sun Shield Mirrors UV,AR_COATING,AR_COATING,240.00,true,,,
7a8a89b7-61fe-42d9-9916-51c99dfb53dc,Crizal Prevencia,AR_COATING,AR_COATING,225.06,true,,,
bc4486af-798f-4a48-a295-590e8826bbc7,Crizal Optifog,AR_COATING,AR_COATING,215.00,false,,,
dcfe6e8b-f78f-4e44-b1f0-acd27390b487,Crizal Rock,AR_COATING,AR_COATING,204.45,true,,,
879f4c1a-d15e-4c4d-9070-d822c798506f,Crizal Sun Shield UV,AR_COATING,AR_COATING,183.60,true,,,
8d88b0f9-c85a-428c-8839-9fc196fff6cf,Crizal Easy Pro,AR_COATING,AR_COATING,147.60,true,,,
ed2e0fe9-3704-44b1-8e9c-46c317825e27,TD2 2-Sided,AR_COATING,AR_COATING,123.00,false,,,
a47b3745-a705-4aad-9e08-c70e960d25df,SharpView+,AR_COATING,AR_COATING,110.40,false,,,
fa39a16b-d0ba-45d9-8fa9-2a71a4c39e43,Crizal Easy,AR_COATING,AR_COATING,110.00,false,,,
a837332c-fa83-4e94-ae5d-c1c37743d04b,TD2 with Optifog,AR_COATING,AR_COATING,104.25,false,,,
9be7ea83-c138-4f17-8aa1-4b448e49eb6c,Essential Blue Series,AR_COATING,AR_COATING,95.16,true,,,
4216e3b9-810d-4d8d-a899-892837bd6a5c,Reflection Free,AR_COATING,AR_COATING,54.60,false,,,
9004d500-7de7-4585-92ae-e8644255f701,Transitions XTRActive Polarized,TRANSITIONS,TRANSITIONS,372.00,true,,,
d98a9166-cd3d-422d-897e-3fe4c7f01b31,Transitions Drivewear,TRANSITIONS,TRANSITIONS,282.30,true,,,
e996640f-e130-4e8f-bdfb-acd9fc5cc9cc,Transitions XTRActive New Generation,TRANSITIONS,TRANSITIONS,225.06,true,,,
547f307e-296f-4ced-b1f0-b26e915e08e9,Transitions GEN S,TRANSITIONS,TRANSITIONS,184.08,true,,,
3ec53531-314e-4cc5-952e-5228dbbc0f0a,Ultra High Index 1.74,MATERIAL,MATERIAL,340.02,true,,,
00e0d5c0-d7a2-4b6e-a2dd-be9438384c9b,Ultra High Index 1.67,MATERIAL,MATERIAL,225.00,true,,,
152ea9bd-2ea6-4db6-8a00-f6df61e966fc,High Index 1.60,MATERIAL,MATERIAL,150.00,true,,,
9d779896-ff5f-4ae4-9166-1c5affc681bb,Trexa / Trivex,MATERIAL,MATERIAL,105.00,true,,,
07d8541b-ecdf-4e9d-a47a-a7c9eef6299b,LiteStyle / Poly,MATERIAL,MATERIAL,75.00,true,,,
2fb10481-77da-4b0c-8d56-8cea6984bf7f,Polarized,ADDON,ADDON,150.00,true,,,
41106663-4351-4371-bacb-b0fb321028da,Varilux Stylistic Wrap,ADDON,ADDON,292.20,false,,,
