Product Name,Category,Wholesale,Retail,Multiplier,VSP Code,EyeMed Tier,Spectera Tier
Varilux Physio DRx,PROGRESSIVE,$151.80,$455.40,3.0,FA,Tier 3,Tier III
Kodak Unique DRO Mini,PROGRESSIVE,$152.50,$457.50,3.0,OA,Tier 3,Tier III
Accolade Freedom,PROGRESSIVE,$152.90,$458.70,3.0,JA,Tier 2,Tier III
Varilux Physio extensee Classic Edition,PROGRESSIVE,$153.80,$461.40,3.0,OA,Tier 3,Tier III
Varilux Physio extensee,PROGRESSIVE,$175.30,$525.90,3.0,OA,Tier 4,Tier IV
Varilux Physio extensee track,PROGRESSIVE,$180.30,$540.90,3.0,OA,Tier 4,Tier IV
Shamir Autograph III,PROGRESSIVE,$184.30,$552.90,3.0,NA,Tier 4,Tier IV
Shamir Attitude III Fashion/Sport,PROGRESSIVE,$187.30,$561.90,3.0,NA,Tier 3,Tier III
Shamir Autograph Intelligence,PROGRESSIVE,$195.70,$587.10,3.0,NA,Tier 5,Tier IV
Varilux X Design,PROGRESSIVE,$200.00,$600.00,3.0,OA,Tier 5,Tier V
Varilux XR design,PROGRESSIVE,$224.00,$672.00,3.0,NA,Tier 5,Tier V
Varilux XR track,PROGRESSIVE,$224.00,$672.00,3.0,NA,Tier 5,Tier V
Shamir Autograph II Office,OFFICE,$59.40,$178.20,3.0,IA,Tier 3,Tier II
Shamir Office,OFFICE,$71.50,$214.50,3.0,IA,Tier 2,Tier I
Kodak SoftWear,OFFICE,$84.40,$253.20,3.0,IA,Tier 2,Tier II
Shamir Computer,OFFICE,$101.80,$305.40,3.0,IA,Tier 3,Tier I
Shamir Workspace,OFFICE,$101.80,$305.40,3.0,IA,Tier 3,Tier I
Essilor Ideal @ Computer,OFFICE,$102.20,$306.60,3.0,IA,Tier 2,Tier I
Reflection Free,AR_COATING,$18.20,$54.60,3.0,QM,Tier 1,Tier I
Essential Blue Series,AR_COATING,$31.72,$95.16,3.0,QM,Tier 1,Tier I
TD2 with Optifog,AR_COATING,$41.70,$104.25,2.5,QT,Tier 2,Tier III
Crizal Easy,AR_COATING,$44.00,$110.00,2.5,QT,Tier 2,Tier II
SharpView+,AR_COATING,$36.80,$110.40,3.0,QM,Tier 1,Tier I
TD2 2-Sided,AR_COATING,$49.20,$123.00,2.5,QT,Tier 2,Tier II
Crizal Easy Pro,AR_COATING,$49.20,$147.60,3.0,QT,Tier 2,Tier III
Crizal Sun Shield UV,AR_COATING,$61.20,$183.60,3.0,QV,Tier 3,Tier IV
Crizal Rock,AR_COATING,$68.15,$204.45,3.0,QV,Tier 3,Tier IV
Crizal Optifog,AR_COATING,$86.00,$215.00,2.5,QV,Tier 3,Tier IV
Crizal Prevencia,AR_COATING,$75.02,$225.06,3.0,QV,Tier 3,Tier IV
Crizal Sun Shield Mirrors UV,AR_COATING,$80.00,$240.00,3.0,QV,Tier 3,Tier IV
Crizal Sapphire HR,AR_COATING,$86.04,$258.12,3.0,QV,Tier 3,Tier IV
Transitions GEN S,TRANSITIONS,$61.36,$184.08,3.0,PR,Photochromic,Photochromic
Transitions XTRActive New Generation,TRANSITIONS,$75.02,$225.06,3.0,PR,Photochromic,Photochromic
Transitions Drivewear,TRANSITIONS,$94.10,$282.30,3.0,PR,Photochromic,Photochromic
Transitions XTRActive Polarized,TRANSITIONS,$124.00,$372.00,3.0,PR+DA,Photochromic+Polarized,Photochromic+Polarized
LiteStyle / Poly,MATERIAL,$25.00,$75.00,3.0,AD,Polycarbonate,Polycarbonate
Trexa / Trivex,MATERIAL,$35.00,$105.00,3.0,BB,Mid-Index,Mid-Index
High Index 1.60,MATERIAL,$50.00,$150.00,3.0,BB,High-Index 1.60,High-Index 1.60
Ultra High Index 1.67,MATERIAL,$75.00,$225.00,3.0,BH,High-Index 1.67,High-Index 1.67
Ultra High Index 1.74,MATERIAL,$113.34,$340.02,3.0,BJ,High-Index 1.74,High-Index 1.74
