Name,Category,Wholesale,Retail,Multiplier
Re-String Nylon Frame,Lens,13.8,41.4,3.0
"Cut, Edge, Mount Customer Lens",Addon,18.2,36.4,2.0
Insert / Mount Lenses,Lens,6.7,20.1,3.0
Roll Edges (Service),Addon,7.2,14.4,2.0
Groove & Paint (Color Groove),Addon,16.0,32.0,2.0
Edge Coating: ColorSmart,Addon,11.1,22.2,2.0
"Engrave Initials, Name or Standard Design",Addon,12.7,25.4,2.0
Swim Goggle Edge & Mount,Addon,15.0,30.0,2.0
Press-On Prism (Optics) Supply & Mount,Addon,37.0,74.0,2.0
Drill Out Screws,Addon,9.4,18.8,2.0
Re-Shape Metal Frame,Lens,18.8,56.4,3.0
Hinge Repair for Zyl Frame (Hidden Hinge),Addon,12.7,25.4,2.0
Hinge Repair for Zyl Frame (Rivet/Shield),Addon,12.7,25.4,2.0
Nose Pads: Adjustable Pads/Arms for Zyl Frame,Addon,8.3,16.6,2.0
Nose Pads: Attach Adjustable Silicon Nose Bridge,Addon,14.4,28.8,2.0
Nose Pads: Replacement (Fitted Soft or Silicone),Addon,11.6,23.2,2.0
Temple Covers (Supply & Mount),Addon,6.7,13.4,2.0
Cable Temple Conversion - Zyl Frame,Addon,10.0,20.0,2.0
Cable Temple Conversion - Metal Frame,Addon,10.0,20.0,2.0
Replace 1 Temple,Addon,15.0,30.0,2.0
Shorten / Cut Temples,Addon,15.0,30.0,2.0
Single Solder & Materials,Addon,20.4,40.8,2.0
Double Solder & Materials - Re-Insert Lenses,Addon,27.0,54.0,2.0
Double Solder & Materials,Addon,35.8,71.6,2.0
Make or Modify Pattern from Customer Drawing,Addon,10.0,20.0,2.0
Transitions GEN S,Transitions,70.0,175.0,2.5
Transitions XTRActive New Generation,Transitions,67.0,167.5,2.5
Transitions XTRActive Polarized,Transitions,109.0,272.5,2.5
Transitions Drivewear,Transitions,96.2,240.5,2.5
Polarized w/ Xperio UV / Xperio UV Mirror,Addon,109.9,219.8,2.0
Polarized,Lens,51.9,155.7,3.0
"Spheres over Base Range, Per D, Per Pair",Addon,7.5,15.0,2.0
"Cylinder over Base Range, Per D, Per Pair",Addon,7.5,15.0,2.0
"Prism over Base Range, Per D, Per Lens",Addon,4.1,8.2,2.0
"Adds Over 3.00, Per Pair",Lens,11.0,33.0,3.0
"Adds Over 4.00, Per Pair",Lens,13.2,39.6,3.0
UNCUT Deduct,Addon,-10.0,-20.0,2.0
Crizal Sapphire HR,AR,72.0,180.0,2.5
Crizal Prevencia,AR,72.0,180.0,2.5
Crizal Rock,AR,61.0,152.5,2.5
Crizal Easy Pro,AR,59.0,147.5,2.5
Crizal Easy,AR,44.0,110.0,2.5
Crizal Sunshield UV,AR,71.0,177.5,2.5
Crizal Sunshield Mirrors UV,AR,71.0,177.5,2.5
Crizal Optifog,AR,86.0,215.0,2.5
SharpView+,Lens,36.8,110.4,3.0
TD2 2-Sided,AR,49.2,123.0,2.5
TD2 with Optifog,AR,41.7,104.25,2.5
Reflection Free,Lens,18.2,54.6,3.0
Essential Blue Series,Lens,10.0,30.0,3.0
LiteStyle / Poly,Material,,55,
Trexa / Trivex,Material,,65,
High Index 1.60,Material,,90,
Ultra High Index 1.67,Material,,119,
Ultra High Index 1.74,Material,,135,
